@Relation genericBIFF
@Attribute ID real
@Attribute sepalwidth real
@Attribute petalwidth real
@Attribute label {Iris-versicolor,Iris-virginica,Iris-setosa}

@DATA
111,3.2,2.0,Iris-virginica
112,2.7,1.9,Iris-virginica
113,3.0,2.1,Iris-virginica
114,2.5,2.0,Iris-virginica
115,2.8,2.4,Iris-virginica
116,3.2,2.3,Iris-virginica
117,3.0,1.8,Iris-virginica
118,3.8,2.2,Iris-virginica
119,2.6,2.3,Iris-virginica
120,2.2,1.5,Iris-virginica
121,3.2,2.3,Iris-virginica
122,2.8,2.0,Iris-virginica
123,2.8,2.0,Iris-virginica
124,2.7,1.8,Iris-virginica
125,3.3,2.1,Iris-virginica
126,3.2,1.8,Iris-virginica
127,2.8,1.8,Iris-virginica
128,3.0,1.8,Iris-virginica
129,2.8,2.1,Iris-virginica
130,3.0,1.6,Iris-virginica
131,2.8,1.9,Iris-virginica
132,3.8,2.0,Iris-virginica
133,2.8,2.2,Iris-virginica
134,2.8,1.5,Iris-virginica
135,2.6,1.4,Iris-virginica
136,3.0,2.3,Iris-virginica
137,3.4,2.4,Iris-virginica
138,3.1,1.8,Iris-virginica
139,3.0,1.8,Iris-virginica
140,3.1,2.1,Iris-virginica
141,3.1,2.4,Iris-virginica
142,3.1,2.3,Iris-virginica
143,2.7,1.9,Iris-virginica
144,3.2,2.3,Iris-virginica
145,3.3,2.5,Iris-virginica
146,3.0,2.3,Iris-virginica
147,2.5,1.9,Iris-virginica
148,3.0,2.0,Iris-virginica
149,3.4,2.3,Iris-virginica
150,3.0,1.8,Iris-virginica
