@Relation genericBIFF
@Attribute cap-shape {b,s,c,f,x,k}
@Attribute cap-surface {s,f,g,y}
@Attribute cap-color {p,b,r,c,e,u,w,g,y,n}
@Attribute bruises {t,f}
@Attribute odor {p,a,c,s,f,y,l,m,n}
@Attribute gill-attachment {a,f}
@Attribute gill-spacing {c,w}
@Attribute gill-size {b,n}
@Attribute gill-color {b,e,g,h,k,n,o,p,r,u,w,y}
@Attribute stalk-shape {t,e}
@Attribute stalk-root {b,r,c,e}
@Attribute stalk-surface-above-ring {s,f,y,k}
@Attribute stalk-surface-below-ring {s,f,y,k}
@Attribute stalk-color-above-ring {p,b,c,e,w,g,y,n,o}
@Attribute stalk-color-below-ring {p,b,c,e,w,g,y,n,o}
@Attribute veil-type {p}
@Attribute veil-color {w,y,n,o}
@Attribute ring-number {t,n,o}
@Attribute ring-type {p,e,f,l,n}
@Attribute spore-print-color {r,b,u,w,h,y,k,n,o}
@Attribute population {a,s,c,v,y,n}
@Attribute habitat {p,d,u,g,w,l,m}
@Attribute class {p,e}

@DATA
x,y,w,t,a,?,c,b,g,e,c,s,s,w,?,p,w,o,p,k,s,g,e
x,f,n,f,?,?,w,b,p,t,e,f,s,?,w,p,w,o,e,k,s,?,e
b,s,?,t,l,f,c,?,n,e,c,s,s,w,w,p,w,o,?,k,n,g,e
f,y,y,t,l,f,c,b,?,e,?,?,y,w,w,p,w,o,p,n,?,g,e
x,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,?,k,y,p,e
b,y,w,t,l,?,c,b,?,e,c,s,s,w,w,p,w,o,p,?,n,g,e
x,y,y,?,a,f,c,b,?,e,c,s,s,w,w,p,w,o,p,k,n,m,e
x,y,?,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,?,y,g,e
b,?,?,t,l,f,?,b,?,e,c,s,s,w,w,p,w,o,p,k,s,m,e
b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e
x,s,y,t,a,f,?,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m,e
x,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,?,g,e
s,f,?,f,n,?,c,?,g,e,e,s,s,w,w,p,w,o,?,k,y,u,e
x,f,w,?,a,f,w,n,w,?,b,?,s,?,w,p,w,o,p,u,v,d,e
x,s,y,t,a,f,?,b,n,e,?,?,s,w,w,p,w,o,p,k,n,m,e
?,y,w,t,?,f,c,n,n,e,e,s,?,w,w,p,w,o,p,n,v,u,p
x,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g,e
s,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,?,y,?,e
x,y,y,t,l,f,?,b,w,e,r,s,y,w,w,?,?,o,p,?,y,?,e
x,s,?,t,l,f,w,n,p,?,b,s,s,w,w,p,?,o,p,u,v,d,e
s,f,n,f,n,f,c,n,k,e,e,s,s,?,w,p,?,o,p,n,y,u,e
x,s,w,?,p,f,c,n,?,e,e,s,s,w,w,p,w,o,p,k,v,g,p
x,y,w,t,a,f,c,b,g,e,c,s,?,w,w,?,w,o,p,n,n,m,e
f,y,n,t,?,f,c,n,p,e,e,s,s,w,w,?,w,o,?,k,v,g,p
f,s,g,f,n,f,w,b,k,t,e,?,s,?,?,p,w,o,e,n,?,g,e
?,s,?,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,?,n,s,m,e
?,s,w,f,n,f,w,?,n,t,e,s,f,w,w,?,?,o,e,k,s,g,e
b,s,y,t,a,f,c,b,w,e,c,s,s,?,w,p,w,?,p,n,n,g,e
f,f,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,?,a,g,e
x,s,w,t,l,?,c,b,n,e,c,s,s,w,w,p,?,o,p,k,n,g,e
b,s,w,t,l,f,c,b,?,e,c,s,s,w,w,?,w,o,p,n,s,m,e
b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,?,g,e
b,?,w,t,l,f,c,b,?,e,c,s,s,w,w,p,?,o,p,n,s,m,e
f,s,w,t,l,f,w,n,w,t,b,s,s,?,w,?,?,o,p,u,v,d,e
x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,?,o,p,k,s,m,e
f,s,?,t,a,f,w,?,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e
x,y,w,t,p,f,c,n,w,e,?,?,s,w,w,?,w,o,p,n,v,u,p
?,?,w,t,l,f,w,n,w,t,b,?,s,w,w,?,w,o,p,?,v,d,e
x,?,y,t,a,?,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e
x,s,n,t,?,f,c,?,p,e,?,s,s,w,w,p,w,o,p,n,?,g,p
b,s,y,t,l,?,c,b,w,e,c,s,s,w,w,p,w,?,p,n,n,g,e
x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,?,p,k,y,p,e
b,y,y,t,?,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e
s,f,?,?,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,e
f,y,n,t,a,f,?,b,?,e,r,s,y,w,w,p,?,o,p,k,y,p,e
x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,e
x,f,g,f,n,f,w,b,k,t,e,?,f,w,w,p,w,o,e,k,s,g,e
f,f,?,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,e
x,y,y,t,l,f,c,b,w,e,c,?,s,?,?,p,w,o,p,n,n,m,e
b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,e
b,y,w,?,?,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e
x,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e
x,s,n,f,n,f,w,b,p,?,e,f,s,w,w,p,w,o,e,?,a,g,e
x,y,?,t,?,f,c,b,g,e,c,s,s,?,w,p,w,o,?,n,s,?,e
s,f,n,f,n,f,c,n,?,e,e,s,s,w,w,p,w,o,p,k,?,u,e
x,s,w,t,a,f,?,n,?,t,b,s,s,w,w,p,w,o,p,u,v,d,e
x,y,n,t,l,f,c,b,w,e,r,s,y,w,?,p,w,o,?,k,s,g,e
b,y,y,t,a,f,c,b,?,e,c,s,s,w,w,p,w,o,p,n,?,g,e
x,y,w,t,a,f,c,b,k,e,?,?,s,?,w,p,w,o,p,n,n,?,e
b,y,w,?,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,e
b,s,y,t,a,f,c,b,g,e,c,s,s,w,?,p,w,o,p,k,s,g,e
b,s,?,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,e
b,?,?,?,a,f,c,b,n,e,c,s,s,w,?,p,w,o,p,k,n,g,e
x,f,n,?,n,f,c,n,k,e,e,s,s,w,w,p,w,o,?,n,y,u,e
f,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,?,e
x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,e
?,y,y,t,l,f,c,b,w,e,r,s,y,w,?,p,w,o,p,?,y,p,e
?,s,w,t,a,?,c,b,?,e,c,s,s,w,w,p,w,?,p,n,s,g,?
b,s,w,t,a,f,c,b,w,?,c,s,s,w,w,p,w,o,?,k,?,m,e
x,y,n,t,?,?,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g,e
b,?,?,t,a,f,c,b,?,e,?,s,?,w,w,p,w,o,p,k,s,g,e
?,f,g,f,n,?,c,n,g,e,e,?,s,w,w,p,w,o,p,n,y,u,e
b,s,y,t,l,f,c,b,k,?,c,s,s,w,w,p,?,?,p,n,s,g,e
x,f,y,t,l,?,w,n,?,t,b,s,s,w,w,p,w,o,p,u,v,d,e
b,y,y,t,a,f,c,?,?,e,c,s,s,w,w,p,w,o,p,k,s,g,?
f,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,?,p,n,s,?,e
b,y,w,?,l,?,c,b,?,e,c,s,s,w,w,p,w,o,p,?,n,m,e
b,y,w,t,a,f,c,?,k,e,c,?,?,w,w,?,w,o,p,k,n,m,e
b,y,y,t,a,f,?,b,g,e,c,s,s,w,w,p,w,o,p,?,?,g,e
x,y,y,t,l,f,c,b,g,e,?,s,s,?,?,p,w,o,p,n,n,m,e
?,?,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,p
?,?,n,f,?,f,c,n,g,e,e,?,s,w,w,?,w,o,p,n,y,u,?
?,f,n,f,n,f,c,?,g,e,e,s,s,w,w,p,w,o,p,?,?,u,e
x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,?,w,o,p,n,?,m,e
f,y,n,?,a,f,c,b,p,e,?,?,y,w,w,p,w,o,p,k,s,p,e
x,y,w,t,?,f,c,?,k,e,e,s,s,w,w,p,w,?,p,k,s,g,p
b,s,w,t,l,f,c,b,g,?,c,s,?,w,w,p,w,?,?,n,s,?,e
f,f,g,f,n,f,c,n,p,e,e,s,?,w,w,p,?,?,?,k,v,?,e
b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e
x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,p,e
x,f,w,f,n,f,w,?,p,t,e,s,?,w,w,p,w,?,e,k,s,g,e
x,s,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e
b,s,w,t,?,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,?,m,e
f,s,y,t,a,f,?,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e
x,s,y,t,a,f,c,?,k,e,c,s,s,w,w,?,w,o,p,n,n,m,e
f,f,g,?,n,f,?,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u,e
b,s,y,t,a,f,?,b,n,e,?,s,s,w,w,p,w,o,p,k,s,g,e
x,s,w,t,l,f,c,b,g,e,c,s,s,?,w,p,w,o,p,n,n,m,e
x,y,w,t,l,?,c,?,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e
f,?,w,t,a,?,w,n,n,t,b,s,s,w,w,p,?,o,p,n,v,d,e
x,y,y,t,l,f,c,b,?,e,c,s,s,w,w,p,w,o,p,n,s,g,e
b,s,w,t,l,?,c,b,?,e,c,s,s,w,w,?,w,o,p,k,s,g,e
x,s,w,t,?,f,c,b,g,e,c,s,?,w,w,p,w,o,p,k,n,g,e
x,f,w,f,n,f,?,b,h,t,e,f,s,w,w,p,w,o,e,k,?,g,e
f,y,n,t,l,f,c,?,n,e,r,s,y,?,w,p,w,o,p,k,y,p,e
x,s,w,t,p,f,c,?,k,e,e,s,s,w,w,p,w,o,p,n,v,u,p
b,s,w,t,?,f,c,b,n,?,c,s,s,w,w,p,w,?,?,n,n,?,e
b,s,w,t,a,f,c,b,?,e,c,?,s,w,w,p,w,?,p,?,s,m,e
b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e
b,y,w,t,a,f,c,b,?,e,?,s,?,w,w,p,w,o,p,?,?,g,e
x,s,y,t,a,f,c,b,w,e,c,s,?,?,w,p,w,o,p,k,s,g,e
?,?,w,t,l,f,?,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,e
x,f,y,t,a,f,?,n,n,t,b,s,s,?,w,p,w,o,p,n,v,d,?
x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,?,y,u,?
f,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g,e
b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,?,p,k,n,m,e
x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,?,w,o,p,k,s,g,e
?,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,?,s,g,e
x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,?,o,p,n,s,?,e
s,f,g,?,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,?,?,u,e
x,s,w,t,a,?,c,?,n,e,c,s,s,w,w,p,w,o,p,n,?,m,e
x,s,w,t,p,f,c,n,k,e,?,s,s,w,w,p,w,o,?,k,s,g,p
x,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,?,n,s,g,e
f,f,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,?,v,?,e
x,?,?,t,l,f,c,?,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e
b,?,w,?,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,e
x,s,w,t,a,f,c,b,g,e,c,s,s,?,w,p,w,o,p,n,n,g,?
?,s,y,t,a,f,c,b,g,e,c,s,s,w,?,p,w,o,?,n,s,g,e
x,y,n,t,p,f,c,n,p,e,e,s,s,w,?,p,w,o,p,k,v,u,p
b,s,?,t,a,f,c,b,n,e,c,s,s,w,w,p,?,o,p,n,n,g,?
x,f,g,f,n,f,c,n,n,?,e,?,s,w,w,p,w,o,?,k,y,u,e
x,y,w,t,?,f,c,n,k,e,e,s,s,w,w,p,w,o,p,?,?,u,p
x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,?,n,y,p,e
f,f,n,f,n,f,c,?,k,e,e,s,s,w,w,?,w,o,p,k,v,u,?
b,s,w,?,l,f,c,b,k,e,c,s,s,?,w,p,w,o,p,n,n,g,e
x,f,w,t,?,f,?,n,w,t,?,s,s,w,?,p,w,o,p,n,v,?,e
x,y,w,t,?,f,c,b,w,?,c,?,s,?,w,p,?,o,p,k,s,g,e
?,y,y,t,l,f,c,b,n,e,c,?,s,w,w,p,?,o,p,n,s,g,e
x,y,y,t,l,f,?,b,n,e,r,s,y,w,w,?,w,?,p,k,s,g,e
f,y,y,t,?,f,c,b,p,e,r,s,y,w,?,p,?,o,p,k,s,p,e
f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,?,p,e
x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e
x,?,w,t,a,?,c,b,w,?,c,?,s,w,w,p,w,o,p,n,n,m,e
x,s,w,t,p,f,c,n,n,e,e,s,?,w,?,p,w,o,p,k,?,u,p
f,f,w,t,a,f,w,n,p,t,b,?,s,w,w,p,w,o,?,u,v,d,e
x,s,w,t,l,?,c,b,w,e,?,s,s,w,w,p,w,o,p,?,s,g,e
x,s,?,?,l,f,w,n,p,t,b,s,s,?,w,p,w,o,p,u,v,d,e
x,y,w,t,a,f,?,b,n,e,?,s,s,w,w,p,w,o,p,k,s,m,e
f,y,y,?,l,?,c,b,w,e,r,s,?,w,w,p,w,o,?,k,y,p,e
x,s,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,?,k,s,g,e
?,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,?,g,e
x,s,n,t,p,f,c,?,p,e,e,?,s,w,w,p,w,o,?,n,s,g,p
s,f,n,f,n,f,c,n,g,e,?,s,s,w,w,p,w,o,p,n,v,u,e
b,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m,e
b,s,w,t,l,f,c,?,n,?,?,s,s,w,w,p,w,o,p,n,s,g,?
b,y,w,t,?,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,?,e
f,f,n,f,n,f,?,n,k,e,e,s,s,w,w,p,w,o,p,?,v,u,e
x,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,e
b,y,w,t,l,f,c,?,g,e,c,s,?,w,w,?,w,o,p,k,?,g,e
b,y,w,?,a,f,c,?,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e
?,y,?,t,l,f,c,b,w,e,r,?,y,w,w,p,w,o,p,n,?,g,e
x,y,w,?,p,f,?,n,?,e,e,s,s,w,?,p,w,o,p,k,v,g,p
x,?,w,t,a,f,c,?,n,e,c,s,s,w,w,?,w,o,p,n,n,?,e
x,y,?,?,a,f,?,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e
?,f,w,t,?,f,?,?,w,t,b,s,s,w,w,p,w,o,p,u,v,d,e
f,f,g,f,n,?,c,n,g,e,e,s,s,w,?,p,w,o,p,k,v,u,e
?,s,g,f,n,f,?,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,e
x,y,y,t,?,f,c,b,g,e,?,s,s,w,w,p,w,o,p,n,s,?,e
b,s,?,t,a,f,c,b,k,e,?,?,s,w,w,p,w,o,?,n,s,m,e
f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,u,p
x,s,w,t,l,f,c,b,n,e,c,s,s,?,w,p,w,o,p,k,n,m,e
f,s,n,t,p,f,c,?,w,?,e,s,s,w,w,p,w,o,p,k,v,u,p
x,y,w,t,l,f,c,b,?,e,c,s,s,w,w,p,w,o,p,n,s,g,?
x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,?,n,n,m,e
f,y,y,t,a,?,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,?,e
x,y,?,t,a,f,?,b,w,e,?,?,y,?,w,p,w,o,p,n,s,p,e
f,y,n,t,?,?,?,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g,e
x,y,w,t,a,f,?,?,w,e,?,s,s,w,w,p,w,o,?,n,n,m,e
?,f,n,f,?,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g,e
x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,e
x,y,w,t,p,f,c,n,w,e,?,s,s,w,w,?,w,o,p,n,s,g,p
