@Relation genericBIFF
@Attribute cap-shape {b,s,c,f,x,k}
@Attribute cap-surface {s,f,g,y}
@Attribute cap-color {p,b,r,c,e,u,w,g,y,n}
@Attribute bruises {t,f}
@Attribute odor {p,a,c,s,f,y,l,m,n}
@Attribute gill-attachment {a,f}
@Attribute gill-spacing {c,w}
@Attribute gill-size {b,n}
@Attribute gill-color {b,e,g,h,k,n,o,p,r,u,w,y}
@Attribute stalk-shape {t,e}
@Attribute stalk-root {b,r,c,e}
@Attribute stalk-surface-above-ring {s,f,y,k}
@Attribute stalk-surface-below-ring {s,f,y,k}
@Attribute stalk-color-above-ring {p,b,c,e,w,g,y,n,o}
@Attribute stalk-color-below-ring {p,b,c,e,w,g,y,n,o}
@Attribute veil-type {p}
@Attribute veil-color {w,y,n,o}
@Attribute ring-number {t,n,o}
@Attribute ring-type {p,e,f,l,n}
@Attribute spore-print-color {r,b,u,w,h,y,k,n,o}
@Attribute population {a,s,c,v,y,n}
@Attribute habitat {p,d,u,g,w,l,m}
@Attribute class {p,e}

@DATA
f,s,?,?,?,f,c,n,n,e,e,s,s,w,w,p,?,o,?,n,v,g,p
x,y,?,t,?,f,c,b,?,e,?,s,?,w,?,p,w,o,p,n,?,?,e
x,y,?,t,l,?,c,b,?,e,c,?,s,?,w,?,w,o,p,n,n,m,e
f,f,n,?,n,f,c,n,k,e,?,s,s,?,w,?,w,?,?,k,y,u,e
?,s,y,?,a,f,w,n,n,?,b,?,s,?,?,?,w,o,p,n,v,d,e
b,?,y,t,l,f,c,b,g,e,?,s,s,w,w,p,w,?,p,?,?,?,?
x,y,w,t,?,f,?,n,k,e,e,s,s,w,w,?,w,o,?,n,s,?,p
?,y,y,?,?,f,c,b,n,e,c,s,s,w,w,p,w,o,p,?,n,m,e
?,?,?,t,?,f,?,?,p,?,r,s,y,?,?,?,?,o,p,n,y,p,e
?,y,y,t,l,?,c,b,n,e,c,?,?,?,w,p,?,o,?,n,s,?,e
x,f,?,t,l,f,w,?,w,?,b,s,?,w,?,?,w,o,p,n,v,d,e
s,f,g,?,n,f,c,n,k,e,e,s,s,?,?,p,w,?,p,?,v,u,e
?,y,n,?,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,?,?,?,p
x,?,y,t,a,f,w,?,?,t,?,?,s,w,w,p,?,?,p,n,v,d,e
?,s,y,t,?,?,c,b,k,e,c,?,?,w,w,p,w,?,p,k,s,m,e
?,?,?,t,a,f,c,b,?,?,c,s,?,w,w,?,w,o,?,n,s,?,e
x,y,?,t,?,f,c,?,?,e,r,s,y,?,w,p,w,?,p,k,y,p,e
?,?,n,?,?,f,c,?,g,e,?,s,s,?,?,p,w,?,p,k,y,u,?
?,y,w,t,p,f,?,?,?,e,?,s,s,w,w,p,w,o,?,n,?,g,p
?,s,y,t,?,f,c,b,?,?,c,s,?,w,w,p,w,?,p,?,n,?,e
x,y,w,?,a,f,?,?,n,e,?,s,s,w,?,p,?,o,?,n,n,g,e
x,?,?,?,l,f,c,b,k,?,?,s,s,?,w,p,?,o,?,k,?,m,?
x,?,w,?,?,f,?,b,w,e,?,s,s,?,w,p,w,?,p,n,n,m,e
x,y,y,t,l,f,?,b,?,?,r,s,y,w,w,?,w,o,p,n,s,p,?
f,?,y,t,l,f,c,b,w,e,?,s,y,w,?,p,w,o,p,k,s,?,e
?,y,n,t,a,?,c,?,?,e,r,?,y,w,?,?,w,o,p,k,s,g,?
?,s,w,?,?,f,c,b,?,?,c,?,s,?,w,p,w,o,p,k,?,?,e
?,s,w,t,?,f,c,?,k,e,c,s,?,w,w,p,w,o,p,n,n,m,e
?,y,n,t,?,f,c,?,?,e,e,s,s,w,w,p,?,o,?,?,?,u,p
x,s,?,?,?,f,c,n,k,?,e,?,?,?,w,p,w,o,p,k,v,u,?
b,y,?,t,a,f,c,b,?,e,c,s,s,w,?,p,?,o,?,k,?,m,e
f,f,g,f,n,f,?,?,n,t,e,?,s,?,w,p,w,o,e,n,?,g,?
?,s,w,t,a,?,?,b,?,e,c,?,?,w,w,p,?,o,p,?,n,g,e
?,?,?,?,l,f,c,b,k,?,?,s,s,w,?,p,w,o,?,k,?,?,?
x,?,?,?,a,f,?,b,p,e,r,s,?,w,?,?,w,?,p,k,y,p,e
s,f,?,f,?,f,c,?,?,e,e,s,?,w,?,?,w,o,p,n,v,u,e
b,y,y,t,a,f,c,b,?,e,c,s,s,?,w,p,w,o,p,n,s,?,e
b,s,y,t,l,?,c,b,g,e,c,s,s,?,w,p,w,o,p,n,s,m,e
b,?,y,?,?,f,?,?,?,e,c,?,s,w,w,?,?,?,p,n,?,m,e
b,?,?,t,?,f,?,b,n,e,?,s,s,w,?,p,w,?,p,?,?,g,e
f,s,?,?,?,f,?,b,k,t,?,?,s,?,w,p,w,o,e,k,a,?,e
x,s,w,t,?,f,?,b,n,e,?,s,s,?,w,?,w,?,p,?,?,g,e
f,y,y,t,?,f,c,b,w,e,r,?,?,w,w,p,?,o,p,n,s,?,e
x,y,y,t,a,?,c,b,?,?,c,?,?,w,w,p,w,o,p,?,n,?,e
?,f,g,f,n,?,c,n,p,e,e,s,s,w,w,p,w,o,?,n,v,u,e
f,?,y,t,l,f,w,n,p,?,?,s,s,w,?,p,w,o,p,n,v,?,e
b,?,?,t,l,?,c,b,?,e,c,s,s,w,?,p,?,o,p,n,s,m,e
f,f,?,?,l,f,?,n,w,t,?,s,s,w,w,p,?,o,p,n,?,d,e
x,?,?,?,?,?,c,b,p,?,r,?,?,w,?,p,w,o,?,k,s,p,e
b,s,y,t,a,f,c,?,k,?,c,?,s,?,w,?,?,?,p,k,?,g,e
f,?,y,t,l,f,w,n,?,t,?,?,s,w,w,?,w,o,p,n,v,d,e
x,?,?,t,l,?,?,?,?,t,b,s,?,?,?,p,?,o,p,u,?,?,e
?,y,n,?,l,f,c,b,p,e,r,s,y,w,w,p,?,o,p,?,y,p,e
x,?,n,t,p,f,c,n,?,e,e,s,s,w,w,p,w,o,p,n,v,u,?
f,?,n,?,?,f,?,b,?,e,r,?,?,w,w,p,w,o,p,?,?,g,e
x,s,?,f,?,f,w,b,k,?,?,f,s,?,w,p,w,o,?,n,s,g,e
?,y,?,t,?,f,c,?,?,e,?,?,?,w,w,p,w,o,p,?,s,g,p
f,f,?,f,n,?,?,?,?,e,e,s,s,w,?,?,w,o,p,n,y,u,?
?,?,g,f,n,f,w,b,n,t,e,s,s,w,?,?,w,o,e,?,s,g,e
x,?,y,t,l,f,?,b,?,e,r,s,y,w,w,?,w,?,p,k,s,g,?
x,s,n,f,n,?,w,b,k,t,e,?,s,w,w,p,w,o,e,?,s,g,e
b,s,?,t,a,f,?,b,w,e,?,s,?,w,w,p,w,o,p,?,s,g,e
x,s,w,t,?,f,c,b,n,e,c,s,s,w,w,p,w,?,p,n,s,g,e
?,y,?,?,?,f,c,b,?,e,?,s,y,w,w,p,w,o,p,k,y,g,e
s,?,n,?,?,f,c,n,n,?,?,s,s,w,w,p,?,o,p,n,v,u,e
x,f,n,f,?,f,c,n,n,?,?,?,?,w,w,p,?,o,p,?,y,u,e
b,?,w,t,?,f,?,b,k,e,c,?,s,w,w,?,w,?,p,k,s,g,?
x,?,y,?,a,f,c,?,?,?,?,?,?,w,w,p,w,?,p,k,?,g,e
x,y,y,t,?,?,c,?,g,e,c,s,s,w,?,?,w,o,?,k,n,m,e
x,?,n,f,n,f,w,?,n,t,e,s,?,w,w,p,w,o,e,n,a,?,e
x,s,w,t,a,f,c,?,g,?,c,s,s,w,?,p,?,o,?,n,s,g,e
f,y,?,t,?,f,c,b,p,?,r,s,y,?,w,p,w,?,p,n,s,g,e
?,s,?,t,a,?,?,b,n,e,c,s,s,w,w,?,w,o,?,?,n,g,?
b,s,w,?,?,f,?,b,g,e,c,s,s,w,?,p,?,?,p,?,?,?,e
x,?,?,t,a,?,?,b,g,?,c,s,s,w,w,?,w,o,p,?,s,?,e
x,f,?,f,?,f,?,?,p,?,e,f,?,w,w,p,w,o,?,k,?,g,e
?,s,y,t,l,?,c,b,n,e,c,s,?,w,w,p,w,o,?,k,n,g,?
f,y,y,t,?,f,?,b,w,e,r,?,y,?,w,p,w,o,p,n,s,g,e
x,y,y,t,a,?,?,?,n,e,?,s,y,w,w,p,?,o,p,?,y,p,e
b,?,w,t,?,?,c,?,g,?,c,s,s,?,?,?,?,o,p,n,n,g,e
?,?,y,t,a,?,c,b,n,?,c,s,s,w,w,?,w,o,?,?,n,m,?
?,?,y,t,a,?,?,?,?,e,r,?,?,?,?,p,w,?,p,?,y,?,?
b,y,w,t,l,f,?,b,?,e,c,s,?,w,w,?,w,o,?,k,s,?,e
b,y,w,t,a,f,c,b,?,e,c,s,?,w,w,p,w,o,p,n,s,?,e
x,s,y,t,?,?,?,b,k,?,c,?,s,w,w,p,?,o,p,k,n,m,e
x,?,y,t,l,f,?,b,w,?,?,s,s,?,w,p,w,?,p,k,?,g,e
?,f,g,f,n,?,c,n,g,e,?,s,s,?,w,p,w,o,?,k,?,u,?
x,f,w,t,a,f,?,n,?,t,?,s,s,w,w,?,w,o,p,u,v,d,e
x,?,?,?,a,f,c,?,n,e,c,s,s,?,w,p,w,o,p,k,n,?,?
x,y,w,?,?,f,?,?,?,e,?,s,s,w,w,p,w,?,p,?,?,u,p
x,?,y,?,?,?,c,b,p,?,r,s,y,w,w,p,w,?,?,?,s,?,?
?,f,g,f,n,f,c,n,p,?,e,s,?,w,w,?,w,o,p,n,y,u,?
?,?,y,t,?,?,c,b,w,e,r,s,?,w,?,?,w,o,p,k,y,?,e
x,s,y,?,l,?,?,n,p,t,b,?,?,w,w,?,w,o,p,?,v,d,e
?,?,n,f,n,?,c,?,?,e,e,?,s,w,w,?,?,o,p,n,y,?,e
?,?,w,t,p,f,?,n,k,e,?,?,s,?,w,?,w,?,p,k,v,?,p
?,y,w,?,a,f,c,?,?,?,c,s,?,w,w,p,?,o,?,?,?,m,?
f,?,?,t,p,f,c,?,?,?,e,s,?,?,?,p,w,o,p,k,?,?,?
f,s,g,f,n,f,?,b,k,t,e,s,s,w,w,?,w,o,e,n,?,?,e
?,s,?,t,l,f,?,b,g,e,c,s,s,?,w,p,w,o,p,n,?,m,e
?,s,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,?,?
b,s,y,?,a,?,c,b,w,e,c,?,s,w,?,p,w,o,p,n,n,?,?
?,f,g,f,n,f,w,b,?,t,e,s,s,w,?,p,w,?,e,n,?,g,e
?,s,?,?,?,f,c,b,n,?,?,?,s,?,w,?,w,o,?,?,n,?,?
?,s,w,?,l,f,?,b,n,e,c,s,s,w,w,p,?,o,p,?,s,m,e
b,s,w,t,l,f,c,b,w,e,c,s,?,w,w,p,w,o,?,n,s,g,e
b,?,w,t,l,f,c,b,w,e,c,?,s,w,w,p,w,?,?,n,s,m,e
f,s,?,?,l,f,w,?,?,t,b,s,?,w,w,p,w,o,p,?,?,d,e
x,y,y,?,?,f,?,b,g,e,c,s,s,w,w,p,w,o,?,k,?,m,e
f,?,w,t,a,f,?,n,p,t,b,s,?,w,w,p,w,o,?,n,v,d,?
?,y,?,?,p,f,c,n,?,e,e,s,?,w,w,p,?,o,p,n,v,u,p
f,f,?,t,l,f,w,n,w,t,b,?,s,w,?,p,?,o,?,n,v,d,e
x,?,y,t,?,f,c,b,n,e,?,?,s,w,w,p,w,o,p,n,?,?,e
x,?,n,?,?,?,?,?,p,e,e,s,s,w,w,p,w,?,p,?,?,g,p
b,s,y,?,?,?,c,b,w,e,c,?,s,?,?,p,w,?,?,?,?,?,?
x,y,n,t,a,f,?,?,?,e,r,s,y,w,w,?,w,o,?,k,y,p,e
b,y,y,t,l,?,c,b,g,?,?,?,s,w,?,?,w,o,?,k,n,m,e
s,?,n,f,?,f,c,n,k,?,e,s,s,?,w,p,?,o,p,n,v,u,e
f,y,?,t,a,?,c,?,w,?,r,?,y,w,w,p,w,o,p,k,y,p,e
x,y,y,t,?,f,c,?,?,?,c,s,s,?,w,p,?,?,p,k,?,g,e
x,?,g,f,?,?,w,?,?,t,e,f,f,w,?,p,w,o,?,?,s,g,e
f,f,?,?,n,?,w,?,k,t,?,s,?,w,w,?,w,o,e,n,a,g,e
x,y,y,t,l,f,?,b,w,e,c,?,s,w,w,p,w,o,?,n,n,m,e
?,?,?,?,l,f,c,b,k,e,?,s,s,?,?,p,?,?,?,k,?,g,e
?,y,?,t,?,f,c,b,?,e,c,s,?,w,?,p,w,o,?,k,n,?,e
x,y,w,t,a,f,c,?,?,e,?,?,s,?,w,p,w,o,?,n,s,?,?
?,?,n,f,?,?,w,b,p,t,?,f,s,w,w,p,?,o,?,n,a,g,e
x,y,w,t,?,f,c,b,?,?,c,s,s,w,w,p,w,o,?,?,s,?,?
s,f,?,?,?,f,c,n,k,e,e,s,s,w,?,?,w,o,?,k,v,u,e
x,?,w,?,a,f,w,n,w,t,?,s,?,w,w,p,?,o,p,u,v,?,?
x,y,n,t,l,f,?,b,w,?,?,?,?,w,w,?,w,o,p,k,s,g,?
?,?,?,t,a,f,c,b,k,e,c,?,s,w,w,p,?,o,p,?,n,g,e
x,y,w,t,a,f,c,b,k,e,c,?,s,w,w,p,w,?,p,n,n,g,e
b,y,w,?,?,f,?,?,?,e,?,s,?,?,?,p,w,?,p,k,s,m,e
b,s,y,t,a,?,?,?,g,e,?,?,s,w,w,?,w,o,?,?,?,g,?
b,s,y,t,?,?,c,b,g,e,c,?,?,w,w,p,w,o,p,k,?,m,e
b,y,y,?,?,?,?,b,n,?,c,s,s,?,?,p,?,o,?,k,n,g,e
?,f,n,?,n,f,c,n,k,e,e,s,s,w,w,p,?,o,p,n,y,u,e
f,y,n,t,l,?,c,b,n,e,r,s,y,w,?,p,?,o,p,?,y,g,?
x,?,w,t,a,?,?,?,?,e,c,s,s,?,?,p,w,o,?,n,?,g,e
?,y,y,t,?,f,?,b,?,?,r,s,y,w,?,p,w,o,p,n,y,p,?
b,?,w,t,a,f,c,b,w,e,?,s,?,w,w,?,?,o,?,n,s,g,?
?,s,w,t,a,f,?,b,w,?,c,s,s,w,?,?,w,o,p,k,?,m,?
?,?,n,t,l,?,c,b,w,?,r,s,?,w,w,p,w,o,p,k,y,?,e
b,s,w,?,a,f,c,?,?,e,c,?,s,?,w,p,?,o,p,?,s,?,?
x,f,?,f,n,f,?,n,g,e,e,s,s,?,?,?,w,o,?,n,y,u,?
b,?,y,t,?,f,c,b,k,e,?,s,?,w,w,p,?,?,p,n,?,g,e
?,f,y,t,l,f,?,n,?,?,b,?,s,w,w,?,w,o,p,?,v,d,e
?,y,y,t,a,?,?,?,?,e,c,?,s,w,w,p,w,o,?,?,s,g,e
f,y,y,t,?,f,c,b,p,e,r,?,y,?,?,p,w,o,p,n,s,g,e
b,y,w,t,?,f,c,b,w,e,c,s,s,w,w,p,w,o,?,k,n,?,e
?,y,w,t,a,?,c,b,k,e,c,s,?,?,w,p,w,?,p,?,n,?,e
b,?,?,?,a,f,?,b,g,?,c,?,s,w,w,?,?,o,p,?,?,g,e
x,?,?,t,?,f,c,?,g,e,c,s,s,?,w,p,?,?,?,?,?,m,e
b,s,y,t,l,f,c,b,g,?,?,?,s,?,?,?,?,?,p,n,n,g,?
?,?,w,?,p,f,c,?,p,e,?,s,?,w,w,?,w,?,?,n,v,u,?
?,?,?,f,n,f,c,n,g,?,e,s,s,w,w,?,w,o,p,?,y,u,e
?,f,n,?,?,f,c,n,g,e,e,?,s,w,w,p,?,?,p,k,v,?,e
?,s,y,t,?,f,?,?,g,e,c,?,s,w,w,p,w,o,p,n,?,m,?
f,y,n,?,a,f,c,b,p,e,?,s,y,w,w,p,?,?,?,k,s,p,e
x,y,w,t,?,f,?,n,k,e,e,s,s,w,?,?,?,o,p,k,s,g,p
b,s,?,?,?,?,c,?,g,e,c,s,?,w,?,p,w,?,?,?,?,m,?
f,?,g,f,n,?,c,?,?,e,e,s,?,w,w,?,w,o,?,k,?,u,e
?,y,y,t,l,?,c,b,g,?,c,?,?,w,w,?,w,o,p,?,n,g,e
x,y,n,t,?,?,?,b,w,?,r,s,?,w,?,p,w,o,p,n,y,p,e
x,f,w,?,n,f,w,b,?,t,e,?,f,?,w,p,?,o,e,?,s,g,e
x,s,w,t,l,f,w,?,w,t,b,s,s,?,?,p,w,o,p,n,?,d,e
?,?,w,?,?,f,c,b,?,e,c,s,?,w,?,p,w,o,?,?,s,m,e
f,s,?,t,?,f,w,n,?,t,b,s,s,?,w,p,?,?,p,n,v,?,?
x,s,y,t,?,f,?,b,k,e,c,s,s,?,w,p,w,o,p,?,n,m,?
f,f,g,?,?,f,c,n,?,?,e,s,?,?,w,p,w,o,p,n,y,u,?
?,s,?,t,a,?,c,b,n,?,c,s,s,w,?,?,?,o,?,k,s,?,?
x,s,w,?,l,?,c,?,g,?,c,?,?,?,w,p,w,o,p,n,?,m,e
x,y,w,t,?,f,c,b,n,e,c,s,s,?,?,?,?,o,p,n,s,?,e
f,?,w,t,a,f,w,?,n,t,b,s,?,?,w,p,w,o,p,?,?,d,e
x,y,y,?,l,?,?,b,w,e,?,?,s,w,?,p,?,o,p,n,s,g,?
b,s,?,?,l,f,c,?,?,e,c,?,?,w,w,p,w,o,p,?,s,g,?
?,?,w,t,?,f,c,b,g,e,c,s,s,w,w,p,?,o,?,k,n,g,e
x,f,w,?,n,f,w,b,h,?,?,?,?,w,?,p,w,?,e,k,s,g,?
f,y,?,t,l,?,c,b,n,e,r,s,y,w,w,p,w,o,?,k,y,?,e
?,s,w,t,p,?,c,n,?,e,e,s,?,w,w,p,w,o,p,n,v,u,p
?,?,w,t,a,f,c,b,n,?,c,s,s,w,w,?,?,o,p,n,n,g,e
b,s,w,?,?,f,?,b,?,e,c,s,?,?,w,p,w,o,p,k,s,m,e
b,y,?,?,l,?,?,?,?,e,?,s,s,w,?,p,w,o,p,?,n,g,?
b,?,w,t,a,?,c,b,w,e,c,?,?,?,w,p,w,?,p,k,?,g,?
x,?,y,t,a,f,c,?,w,e,c,s,s,w,?,p,w,?,?,k,?,?,e
b,?,w,t,l,f,c,b,w,e,c,s,s,w,w,p,?,o,p,?,?,m,?
x,?,?,t,?,f,?,?,n,t,b,s,s,?,w,p,w,o,p,?,?,d,e
x,?,g,f,n,?,c,?,n,?,?,s,s,w,w,p,w,o,?,n,y,u,e
f,?,y,t,?,f,c,b,?,e,r,s,y,?,?,p,?,o,p,n,s,g,e
b,s,w,t,l,f,c,?,n,e,c,s,s,w,w,p,?,o,p,k,n,?,e
?,s,y,t,a,f,?,b,g,?,c,?,s,w,w,p,w,?,?,k,?,g,e
?,?,?,?,?,f,?,?,k,?,c,s,s,w,?,p,w,o,p,k,s,?,e
x,y,?,?,l,f,c,?,w,e,?,?,s,w,w,p,w,o,?,n,s,g,e
?,?,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,?,p,?,v,?,e
x,s,?,t,a,f,c,?,n,e,c,s,s,w,?,p,w,o,p,?,?,m,e
x,s,w,t,?,f,c,n,k,e,e,s,?,w,?,p,w,o,?,k,s,g,p
x,?,y,t,?,f,c,b,n,e,r,s,y,w,?,?,w,o,?,n,s,g,e
f,f,?,t,?,f,?,n,p,t,b,s,?,w,w,p,w,?,p,?,v,d,?
x,?,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e
b,y,w,t,l,?,c,b,n,e,c,s,s,w,w,p,w,?,p,k,s,g,e
x,s,?,?,a,f,c,?,g,e,c,?,?,w,w,?,w,?,p,n,n,g,e
x,s,y,t,a,f,c,b,g,e,c,s,?,?,w,p,w,?,p,n,s,g,e
?,y,n,?,p,f,?,n,p,e,e,?,s,w,w,p,?,o,p,k,v,?,p
b,?,y,t,a,f,c,b,n,e,c,?,?,w,w,p,w,o,p,?,n,?,e
x,?,g,f,n,?,c,n,?,e,e,?,?,?,w,?,w,?,p,k,y,u,?
?,?,w,t,p,?,c,n,k,?,e,s,s,w,?,p,?,o,p,?,s,u,?
x,y,?,t,l,f,?,b,?,?,r,?,y,?,w,p,?,o,p,n,?,p,e
f,f,n,f,?,f,?,n,k,e,e,s,s,?,w,p,w,o,p,k,v,u,e
?,?,?,t,l,f,c,b,k,?,?,?,s,w,w,p,?,o,?,n,n,g,?
x,f,?,t,l,f,?,n,w,t,b,s,?,w,w,p,w,?,p,?,v,d,?
x,y,w,t,l,f,?,b,w,?,c,s,s,w,w,p,w,o,p,k,s,g,e
?,y,y,t,l,?,?,?,n,e,c,s,?,w,?,p,w,?,p,n,?,g,e
?,y,y,t,l,f,c,b,n,?,?,s,y,w,?,?,?,o,p,k,?,g,e
f,y,y,?,?,?,?,?,?,e,r,s,y,?,w,p,w,?,?,k,s,?,e
?,y,?,t,?,f,?,?,w,?,r,s,?,w,w,p,w,o,?,?,?,?,e
x,s,w,t,l,f,?,?,w,?,c,s,s,?,?,p,?,o,p,k,s,g,e
x,?,?,t,?,f,c,?,w,e,c,s,s,w,?,?,w,o,?,n,n,?,e
?,?,?,t,p,f,?,n,n,e,e,s,s,w,w,p,?,?,?,k,v,u,?
f,?,?,?,a,f,w,?,p,?,b,s,?,w,w,p,w,o,?,?,v,d,e
x,s,w,?,l,f,?,?,?,e,c,s,s,?,w,p,w,?,p,n,s,g,?
x,s,?,t,l,f,?,n,p,?,?,?,s,w,w,p,w,?,p,u,v,?,?
x,?,?,t,?,f,c,b,?,e,c,s,s,w,w,p,?,o,p,k,?,m,e
?,y,y,t,l,f,c,b,w,e,r,s,?,w,w,p,w,o,p,?,y,p,?
?,s,n,f,n,f,?,b,p,t,e,f,s,w,?,p,?,o,?,?,s,g,e
f,y,y,t,?,f,?,b,w,e,r,s,y,w,w,p,?,o,p,n,?,g,e
x,?,n,?,?,?,c,n,p,?,e,s,s,w,w,p,?,?,?,n,?,g,?
s,f,n,f,n,f,c,?,g,?,e,?,s,w,w,p,w,o,p,n,v,u,e
b,?,?,t,?,?,?,b,?,e,c,?,s,w,w,?,w,o,p,?,?,m,e
b,s,w,?,?,f,?,b,n,?,c,s,?,w,w,p,w,?,p,n,s,g,e
b,y,w,t,l,?,c,b,k,e,c,s,?,w,w,p,?,o,p,n,n,?,?
f,f,n,f,n,f,?,n,k,e,e,s,?,w,w,p,w,o,p,n,v,?,e
x,s,?,?,?,f,c,b,?,e,c,s,s,?,?,p,w,o,?,k,?,?,e
b,y,w,?,l,?,c,b,?,e,c,s,?,w,w,?,?,o,p,k,n,?,e
?,?,?,t,a,?,?,b,?,e,c,s,s,?,w,p,?,o,?,?,n,m,e
f,?,n,?,l,f,c,b,w,?,r,s,y,w,?,p,?,o,p,?,s,g,e
x,?,w,t,?,?,c,n,k,e,e,?,s,w,?,p,w,o,p,k,v,g,p
?,s,w,?,?,f,c,?,n,e,c,?,?,w,w,p,?,o,p,?,?,g,e
x,y,w,t,a,f,c,?,n,e,c,s,s,?,w,p,w,o,p,n,s,m,e
?,f,?,t,l,f,?,?,w,t,?,?,s,?,w,?,w,o,p,u,?,d,?
?,?,?,?,?,f,?,n,?,?,?,s,s,?,?,?,?,o,p,k,v,u,e
?,s,g,?,?,f,?,b,p,t,e,s,s,w,w,p,w,?,e,k,a,g,e
x,y,y,?,a,?,c,?,?,e,c,s,s,w,w,?,?,?,p,n,s,?,e
b,s,w,t,a,?,?,b,k,e,c,?,s,?,w,p,w,?,?,n,s,m,e
f,y,?,t,p,?,c,?,w,?,?,s,?,?,w,p,w,o,?,?,?,?,?
x,?,w,t,l,f,c,?,n,e,c,s,s,w,?,p,w,?,?,?,?,m,e
?,s,n,t,p,?,c,n,?,e,e,s,s,w,?,p,?,o,?,?,v,u,p
x,y,w,?,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,e
x,y,?,t,?,f,?,b,?,e,?,s,s,?,w,p,w,o,p,n,n,m,e
f,y,y,t,?,f,c,b,?,e,?,s,y,w,w,p,w,o,p,n,?,p,e
x,y,n,?,a,f,c,b,w,?,r,s,y,w,?,p,?,o,p,n,s,p,?
f,y,n,t,a,f,c,?,w,e,r,s,?,w,w,?,w,o,p,n,y,g,e
x,y,w,t,?,?,c,b,w,e,c,s,s,w,?,p,w,o,p,n,?,m,e
f,f,n,?,n,f,w,b,h,t,e,s,?,w,?,p,w,o,e,k,?,g,e
x,s,?,t,l,f,c,b,k,e,c,s,?,?,w,?,w,o,p,?,?,?,e
?,y,?,t,?,f,c,n,?,e,?,s,s,w,?,p,w,o,p,n,s,g,?
