@Relation genericBIFF
@Attribute cap-shape {b,s,c,f,x,k}
@Attribute cap-surface {s,f,g,y}
@Attribute cap-color {p,b,r,c,e,u,w,g,y,n}
@Attribute bruises {t,f}
@Attribute odor {p,a,c,s,f,y,l,m,n}
@Attribute gill-attachment {a,f}
@Attribute gill-spacing {c,w}
@Attribute gill-size {b,n}
@Attribute gill-color {b,e,g,h,k,n,o,p,r,u,w,y}
@Attribute stalk-shape {t,e}
@Attribute stalk-root {b,r,c,e}
@Attribute stalk-surface-above-ring {s,f,y,k}
@Attribute stalk-surface-below-ring {s,f,y,k}
@Attribute stalk-color-above-ring {p,b,c,e,w,g,y,n,o}
@Attribute stalk-color-below-ring {p,b,c,e,w,g,y,n,o}
@Attribute veil-type {p}
@Attribute veil-color {w,y,n,o}
@Attribute ring-number {t,n,o}
@Attribute ring-type {p,e,f,l,n}
@Attribute spore-print-color {r,b,u,w,h,y,k,n,o}
@Attribute population {a,s,c,v,y,n}
@Attribute habitat {p,d,u,g,w,l,m}
@Attribute class {p,e}

@DATA
s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,e
x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u,p
x,f,y,t,a,f,w,n,p,t,?,s,?,w,?,p,w,o,p,n,v,d,e
b,s,y,t,l,f,c,?,k,e,c,s,s,w,w,p,w,o,p,k,s,m,e
?,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e
x,y,y,t,l,f,c,?,n,e,r,s,y,w,w,p,w,o,p,k,y,p,e
x,f,n,f,n,f,c,n,?,e,e,s,s,w,w,p,w,o,p,k,y,u,e
x,y,w,t,p,f,c,n,p,e,e,s,s,?,w,p,w,o,p,n,?,g,?
?,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,?,m,e
x,y,w,t,a,f,?,b,n,e,?,s,s,w,w,?,w,o,p,n,n,g,e
x,y,y,?,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,e
x,s,w,t,l,f,c,b,w,e,?,s,s,w,w,p,w,o,p,n,n,m,e
x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,p,e
f,y,y,t,l,f,c,b,w,?,r,s,y,w,?,p,w,o,p,k,s,p,e
x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g,e
x,s,w,t,l,f,c,b,?,e,c,s,s,w,?,p,w,o,p,k,s,g,e
b,s,w,t,l,f,c,b,k,e,c,s,s,w,?,p,w,o,p,n,n,m,e
x,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,?,u,p
x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,?,?,v,u,p
b,y,y,?,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m,e
f,f,g,f,n,?,w,b,n,t,e,s,s,w,w,p,w,o,e,?,a,g,e
?,s,w,t,a,f,c,b,w,e,?,s,s,w,?,p,w,o,p,n,n,g,e
x,s,y,t,l,f,c,?,k,e,c,s,s,w,w,p,w,o,p,k,n,g,e
x,y,n,?,a,f,?,b,p,e,r,s,y,w,?,p,w,o,?,k,y,p,e
s,f,?,f,n,f,c,n,k,e,e,s,?,w,w,p,w,o,p,n,v,u,e
b,y,y,t,a,?,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,e
b,s,y,t,l,f,c,b,g,e,c,s,s,w,?,p,w,o,p,n,s,m,e
b,y,?,t,l,f,c,b,g,?,c,s,s,w,w,p,w,o,p,n,n,?,e
b,y,w,t,l,f,c,b,n,e,?,s,s,w,w,p,w,o,p,n,?,g,e
f,s,n,f,n,f,w,b,k,t,e,s,s,w,w,?,w,o,e,k,a,g,e
x,?,w,t,?,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,e
f,y,?,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g,e
x,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g,e
x,?,g,f,n,f,?,n,p,?,e,s,s,w,w,p,w,o,p,n,v,u,e
f,f,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e
b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,?,e
f,f,y,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,?
x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p,e
b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e
f,s,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e
x,s,w,t,l,f,w,n,n,t,b,s,?,w,w,p,w,o,?,u,v,d,e
f,y,n,t,l,f,c,b,p,e,r,s,?,w,w,p,w,o,?,n,y,p,e
x,y,n,t,p,f,c,n,?,e,e,s,s,w,w,p,w,o,p,n,v,u,p
f,y,n,?,a,f,c,b,?,e,r,s,y,?,w,p,w,o,p,n,y,g,e
x,?,n,f,n,f,w,b,k,t,e,f,?,w,w,p,w,o,e,n,s,?,e
x,y,w,t,p,f,c,n,w,e,?,s,s,w,w,p,w,o,p,k,s,g,p
f,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,?,p,n,y,u,?
x,f,g,f,n,f,w,b,n,t,e,s,s,w,w,?,w,o,e,n,s,g,e
x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g,e
x,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,?,o,e,k,?,g,e
b,s,w,t,a,f,c,?,w,e,c,s,s,?,w,p,w,o,p,k,s,g,e
x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e
f,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g,e
s,f,?,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,e
x,f,n,f,n,f,c,?,n,e,e,s,s,w,w,p,w,o,p,n,y,u,e
b,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e
x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e
x,y,y,t,l,f,c,?,g,?,c,s,s,w,w,p,w,o,p,k,n,m,e
x,s,?,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,?,n,a,g,e
x,s,w,?,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e
f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g,e
x,s,y,?,a,f,c,b,n,?,?,s,?,?,w,p,w,o,p,k,n,g,e
b,s,w,t,a,f,c,b,g,e,c,s,s,?,w,p,w,o,p,n,s,g,e
?,y,w,t,?,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e
x,f,?,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,e
b,s,y,t,l,f,c,b,n,e,c,?,s,w,w,p,w,o,?,k,n,g,e
f,y,y,t,l,f,c,b,w,e,r,?,y,w,w,p,w,o,?,n,?,g,e
x,y,y,t,a,f,c,b,n,e,r,s,y,w,w,?,w,o,p,k,y,p,e
b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,?,w,o,p,n,n,g,e
x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,e
x,y,y,t,?,?,c,b,w,e,r,?,y,w,w,p,w,o,p,n,y,g,e
b,?,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,?,s,m,e
b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e
x,s,y,?,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,?,m,e
x,s,y,t,l,f,c,b,w,e,c,s,s,w,w,?,w,o,p,k,n,g,e
s,f,g,f,n,f,c,n,g,e,e,s,?,w,w,p,w,o,p,k,y,u,e
x,f,w,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,e
x,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,e
x,y,w,t,p,f,?,n,n,e,e,s,s,w,w,p,w,o,p,n,?,u,p
x,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g,e
s,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,y,u,e
x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g,e
x,s,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,?,e
s,f,n,f,n,f,?,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u,e
x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,?,w,o,p,k,v,g,p
x,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e
f,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,p
f,s,g,f,n,f,w,?,k,t,e,s,s,w,w,p,w,o,e,n,a,g,e
x,s,y,?,l,f,c,b,?,e,c,?,s,w,w,p,?,o,p,n,s,m,e
x,s,w,f,n,f,w,b,n,t,e,s,f,?,w,p,w,o,e,k,s,g,e
b,s,y,t,a,f,?,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,e
f,f,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,e
x,s,w,t,l,f,c,b,n,e,c,s,s,?,w,p,w,o,p,k,n,g,e
b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,?
b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,?
b,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m,?
f,s,?,t,l,?,w,n,w,t,b,s,s,w,w,p,w,o,?,u,v,d,e
?,y,y,?,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,e
f,s,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e
x,y,w,?,p,f,c,n,w,e,e,s,s,w,w,p,w,o,?,n,v,u,p
f,f,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e
x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e
x,s,n,t,p,f,c,n,p,e,e,?,s,w,w,p,w,o,p,n,v,g,p
b,s,y,t,l,f,c,?,w,e,c,s,s,w,w,p,w,o,p,n,n,g,e
x,y,n,t,a,f,c,?,w,e,r,s,y,w,w,p,w,?,?,k,y,p,e
b,y,y,t,?,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e
s,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,?,p,?,v,u,e
f,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,?,o,p,k,y,p,e
x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,e
?,f,g,f,n,f,w,b,k,t,e,f,f,?,w,p,w,o,e,k,s,g,e
f,f,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,e
x,y,y,?,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,?,n,m,e
b,s,y,t,?,f,c,b,?,e,c,s,s,w,w,p,w,o,p,k,n,g,e
b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e
x,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e
x,s,n,f,n,f,w,b,?,t,e,f,s,w,w,p,w,o,e,?,a,g,e
x,?,w,t,l,f,c,b,g,e,c,s,s,w,?,p,w,o,p,n,s,g,?
s,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,?,o,p,k,v,u,e
x,s,w,t,a,f,w,n,w,t,b,s,?,w,w,p,w,o,p,u,v,d,e
x,y,n,t,l,f,c,b,w,?,r,s,y,w,w,p,w,o,?,k,s,g,e
b,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,e
x,y,?,t,a,f,c,b,k,e,c,s,s,w,w,?,w,o,p,n,n,g,e
b,y,?,?,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,e
b,s,y,t,a,f,c,b,g,e,c,s,?,w,w,p,w,?,p,k,s,g,e
b,?,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,e
b,y,y,t,a,f,c,b,n,e,c,s,s,?,w,p,w,o,p,k,n,g,e
x,f,n,?,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,?,e
f,y,n,?,l,f,c,b,n,e,?,s,y,w,w,p,w,o,p,n,y,g,e
x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,e
f,y,y,t,l,f,?,b,?,e,r,s,?,w,w,p,w,o,p,n,y,p,e
b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e
b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m,e
x,y,n,t,l,?,c,b,w,e,r,s,y,w,w,?,w,o,p,k,y,g,e
b,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,?,g,e
x,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u,e
b,s,y,t,l,f,?,b,k,e,c,?,?,w,w,p,w,o,p,n,s,g,e
x,?,y,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d,e
b,y,y,?,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e
f,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g,e
b,y,w,t,l,f,?,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,e
b,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,?,m,e
b,y,?,?,a,?,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e
x,y,y,t,l,?,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e
b,s,y,t,?,f,c,?,?,e,c,s,s,w,w,p,w,o,p,n,n,g,e
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,p
s,f,n,f,n,f,c,n,g,e,e,s,s,?,w,p,w,o,p,n,y,u,e
f,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,?,k,v,u,e
x,?,y,t,a,f,c,b,g,e,?,s,s,w,?,p,w,o,p,n,s,m,e
f,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,?,p,k,s,p,e
x,y,w,t,p,f,?,n,k,e,e,s,s,w,w,p,w,o,p,k,s,?,p
b,s,w,?,l,f,c,b,g,e,c,s,s,w,w,p,?,o,p,n,s,m,e
f,f,g,f,n,f,?,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,e
b,y,?,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e
x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,p,e
x,f,w,f,n,f,w,b,p,t,e,s,f,w,w,p,?,o,e,k,?,g,e
x,s,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e
b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m,e
f,s,y,t,a,f,w,n,w,t,b,s,s,w,w,?,?,o,p,n,v,d,e
x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,?,n,n,m,e
f,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u,e
b,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,e
x,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e
x,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e
f,s,w,t,a,f,w,n,n,t,b,s,s,w,?,p,w,o,p,n,v,d,e
x,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e
b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e
?,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g,e
x,f,w,f,n,f,?,b,?,t,e,f,s,w,w,p,w,o,e,k,s,g,e
f,y,n,t,l,f,c,b,n,e,r,s,?,w,w,?,w,o,?,k,y,p,e
x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,?,n,v,u,p
b,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e
b,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,e
b,y,w,t,l,f,c,b,n,e,c,?,s,w,w,p,w,o,?,n,n,g,e
b,y,w,t,a,f,c,b,w,e,c,s,s,w,?,p,w,o,p,k,n,g,e
x,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e
b,s,w,t,l,f,c,b,w,e,c,s,?,w,?,p,w,o,p,k,n,m,e
?,f,y,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e
?,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u,e
f,y,y,t,a,f,c,b,?,e,r,?,y,w,w,p,w,o,p,n,s,g,e
b,?,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,e
x,s,y,t,a,?,c,b,g,e,?,s,s,w,w,p,w,o,p,?,s,g,e
x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e
x,y,w,t,l,f,c,b,w,e,c,s,s,?,w,p,w,o,p,n,s,g,e
s,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,e
x,s,w,t,a,f,c,b,?,e,c,s,s,w,w,p,w,o,p,n,n,m,e
x,s,w,t,p,f,c,n,k,e,e,s,?,w,w,p,w,o,p,k,s,g,p
x,y,y,t,a,f,?,b,n,?,r,s,y,w,w,p,w,o,p,n,s,g,e
f,f,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,?
x,y,w,?,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e
b,y,w,t,l,?,c,b,n,?,c,s,s,?,w,p,w,o,p,k,s,g,e
x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e
x,s,y,t,a,f,?,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e
?,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,?,v,u,p
b,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e
x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,y,u,e
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u,p
x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,p,e
f,f,n,f,n,f,c,n,k,e,e,s,s,w,?,p,w,o,p,k,v,u,?
b,s,w,t,l,f,c,b,k,e,c,s,?,w,w,p,w,o,p,n,n,g,e
x,f,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e
x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e
b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,?,o,p,n,s,g,e
x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,s,g,e
f,y,?,t,a,f,c,b,p,e,?,s,y,w,w,p,w,o,p,k,s,p,e
f,y,y,t,a,f,?,b,?,e,r,s,y,w,w,p,w,o,p,k,y,p,e
x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e
x,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e
x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,?,w,o,p,k,v,u,p
f,f,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d,e
x,s,w,t,l,f,c,b,w,e,?,s,s,w,w,p,w,o,p,n,s,g,e
x,s,w,t,l,f,w,n,?,t,b,s,s,w,w,p,w,o,p,u,v,d,e
x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,e
f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,?,w,o,p,k,y,p,e
x,s,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,e
f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,?,e
x,s,n,t,p,f,?,n,p,e,e,s,s,w,?,p,w,o,p,n,s,?,p
s,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,v,?,e
b,y,y,t,l,f,c,b,w,e,?,s,s,w,w,p,w,o,p,?,s,m,e
b,s,w,t,l,?,?,b,n,e,c,s,?,w,w,p,w,o,p,n,s,g,e
b,y,w,t,l,f,c,b,k,e,c,s,s,?,w,p,w,o,?,n,n,m,e
f,f,n,f,n,f,c,n,k,e,e,s,s,?,w,p,w,o,p,?,v,u,e
x,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,e
b,y,?,t,l,f,c,b,g,e,?,s,s,w,w,p,w,o,p,k,n,g,?
b,y,w,t,a,f,?,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e
f,y,n,t,l,f,?,b,?,e,r,s,y,w,w,p,w,?,p,n,s,g,e
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g,p
x,s,w,t,a,f,c,?,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e
x,y,w,t,?,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e
?,f,w,t,l,f,w,n,w,t,b,s,?,w,w,p,w,o,p,u,v,d,?
f,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,v,u,e
f,s,g,f,n,f,w,b,p,?,e,s,s,w,w,p,w,o,e,k,a,g,e
x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e
b,s,w,t,a,f,c,b,k,e,?,s,s,w,w,p,?,o,p,n,s,?,e
f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,?,k,s,u,p
x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,e
f,s,n,t,p,f,c,n,w,?,e,s,s,w,w,?,w,o,p,k,v,u,p
x,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,e
x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,?,p,n,n,m,e
f,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,?,e
x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,?,p,n,s,p,e
f,y,n,t,a,f,c,b,w,e,r,?,y,w,w,p,w,o,p,n,y,g,e
x,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,?,o,p,n,n,m,e
f,f,n,f,n,f,w,b,?,t,e,s,s,w,w,p,w,o,e,k,s,g,e
x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,?
x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g,p
